City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Sao Filipe,CV,14.8961,-24.4956,78.03,73,40,13.71,scattered clouds
172,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,59,6.78,light rain
173,Songjianghe,CN,42.1859,127.479,18.12,75,2,5.59,clear sky
174,Kibala,TD,9.1104,18.3463,76.14,20,45,4.05,scattered clouds
175,Santa Cruz,BO,-17.8,-63.1667,84.25,65,40,14.97,scattered clouds
176,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,90,24.16,light snow
177,Thinadhoo,MV,0.5333,72.9333,81.79,70,83,17.67,broken clouds
178,Krasnokamensk,RU,50.0979,118.0369,10.06,95,100,3.44,overcast clouds
179,Faanui,PF,-16.4833,-151.75,81.7,72,15,15.61,few clouds
180,New Norfolk,AU,-42.7826,147.0587,58.5,59,6,2.35,clear sky
181,Barrow,US,71.2906,-156.7887,-14.78,84,20,3.44,few clouds
182,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,22,0,14.97,clear sky
183,Zabol,AF,32.25,67.25,35.89,47,10,2.08,clear sky
184,Souillac,MU,-20.5167,57.5167,73.78,88,40,5.75,scattered clouds
185,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,5.75,scattered clouds
186,Trairi,BR,-3.2778,-39.2689,80.56,76,14,10.16,few clouds
187,Lucapa,AO,-8.4192,20.7447,65.53,93,100,1.5,light rain
188,Ucluelet,CA,48.9329,-125.5528,52.11,94,100,14.52,light rain
189,Flin Flon,CA,54.7682,-101.865,26.44,59,20,9.22,few clouds
190,Lukavica,BA,44.7628,18.1689,44.82,90,100,3.42,overcast clouds
191,Thompson,CA,55.7435,-97.8558,23.16,80,90,8.05,light snow
192,Iberia,US,29.9502,-91.7507,57.16,62,75,0.0,broken clouds
193,Pampierstad,ZA,-27.7832,24.6877,66.09,76,4,13.0,clear sky
194,Alto Longa,BR,-5.2511,-42.2103,81.91,62,58,3.8,broken clouds
