City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Mataram,ID,2021-11-23 05:08:28,-8.5833,116.1167,92.21,66,79,5.7
153,Portland,US,2021-11-23 05:05:07,45.5234,-122.6762,46.17,91,90,1.01
154,Rio Gallegos,AR,2021-11-23 05:08:28,-51.6226,-69.2181,44.65,53,75,2.3
155,Pryluky,UA,2021-11-23 05:08:29,50.5932,32.3876,29.19,72,100,4.97
156,Sheboygan,US,2021-11-23 05:07:50,43.7333,-87.9334,25.38,58,1,1.99
157,Lebanon,US,2021-11-23 05:07:08,36.2081,-86.2911,31.59,78,1,0.0
158,Qaqortoq,GL,2021-11-23 05:08:29,60.7167,-46.0333,21.7,82,3,5.5
159,Avarua,CK,2021-11-23 05:04:24,-21.2078,-159.775,77.05,73,90,5.75
160,Vila Franca Do Campo,PT,2021-11-23 05:08:29,37.7167,-25.4333,68.2,88,95,14.07
161,Padang,ID,2021-11-23 05:08:30,-0.9492,100.3543,86.05,65,100,5.86
162,Saint-Francois,FR,2021-11-23 05:08:30,46.4154,3.9054,41.68,78,90,6.91
163,Xining,CN,2021-11-23 05:08:30,36.6167,101.7667,35.74,21,0,1.59
164,Grootfontein,NA,2021-11-23 05:08:31,-19.5667,18.1167,64.06,18,20,10.63
165,Saint-Pierre,RE,2021-11-23 05:08:31,-21.3393,55.4781,82.08,64,0,8.05
166,Arraial Do Cabo,BR,2021-11-23 05:08:31,-22.9661,-42.0278,67.86,73,0,6.91
167,Huarmey,PE,2021-11-23 05:08:32,-10.0681,-78.1522,65.57,84,98,6.64
168,Eskisehir,TR,2021-11-23 05:08:32,39.7767,30.5206,30.11,100,40,0.0
169,Orichi,RU,2021-11-23 05:08:32,58.4036,49.0572,17.94,89,100,12.35
170,Klaksvik,FO,2021-11-23 05:08:32,62.2266,-6.589,47.32,80,100,31.29
171,Usinsk,RU,2021-11-23 05:08:33,65.9939,57.5281,1.6,98,99,10.13
172,Husavik,IS,2021-11-23 05:08:33,66.0449,-17.3389,32.0,92,26,7.38
173,Awbari,LY,2021-11-23 05:08:33,26.5921,12.7805,61.74,44,89,4.76
174,Vaini,TO,2021-11-23 05:08:34,-21.2,-175.2,80.76,83,75,8.05
175,Torbay,CA,2021-11-23 05:08:34,47.6666,-52.7314,37.58,83,44,1.01
